date,prophet,lstm,rf,gb,ensemble,is_forecast
2019-01-15,2702.5437904099163,4314.222070376277,6198.01,6198.01,4234.68713727685,False
2019-01-16,2706.8126361904565,4314.222320978641,6198.01,6198.01,4236.394750769775,False
2019-01-17,2709.051226639267,4314.221819773912,6198.01,6198.01,4237.29003658788,False
2019-01-18,2713.029237320389,4314.222070376277,6198.01,6198.01,4238.881316041039,False
2019-01-21,2721.718963318606,4314.222070376277,6198.01,6198.01,4242.357206440325,False
2019-01-22,2726.465725581661,4314.222070376277,6198.01,6198.01,4244.255911345547,False
2019-01-23,2731.0667889312085,4314.222320978641,6198.01,6198.01,4246.096411866076,False
2019-01-24,2733.5253148030915,4314.222070376277,6198.01,6198.01,4247.0797470341195,False
2019-01-25,2737.645338386966,4314.222070376277,6198.01,6198.01,4248.72775646767,False
2019-01-28,2746.189438387128,4314.222070376277,6198.01,6198.01,4252.145396467735,False
2019-01-29,2750.7336615868517,4314.222070376277,6198.01,6198.01,4253.963085747624,False
2019-01-30,2755.0517291177166,4314.222070376277,6198.01,6198.01,4255.69031275997,False
2019-01-31,2757.1338259731915,4314.222070376277,6198.01,6198.01,4256.52315150216,False
2019-02-01,2760.8216040932966,4314.222070376277,6198.01,6198.01,4257.998262750202,False
2019-02-04,2767.658671134476,4314.222070376277,6198.01,6198.01,4260.733089566674,False
2019-02-05,2771.5339026594797,4314.222070376277,6198.01,6198.01,4262.283182176675,False
2019-02-06,2775.129548729721,4314.222070376277,6198.01,6198.01,4263.7214406047715,False
2019-02-07,2776.4245284374488,4314.222070376277,6198.01,6198.01,4264.239432487862,False
2019-02-08,2779.2904363068546,4314.222070376277,6198.01,6198.01,4265.385795635625,False
2019-02-11,2783.3758760159135,4314.222070376277,6198.01,6198.01,4267.019971519248,False
2019-02-12,2786.2614474781576,4314.222070376277,6198.01,6198.01,4268.174200104147,False
2019-02-13,2788.8264331249334,4314.222070376277,6198.01,6198.01,4269.200194362857,False
2019-02-14,2789.042218065345,4314.222320978641,6198.01,6198.01,4269.28658351973,False
2019-02-15,2790.8008586733717,4314.221819773912,6198.01,6198.01,4269.989889401522,False
2019-02-18,2791.3610789061386,4314.222070376277,6198.01,6198.01,4270.214052675338,False
2019-02-19,2793.026142767082,4314.222070376277,6198.01,6198.01,4270.880078219716,False
2019-02-20,2794.352119801766,4314.222070376277,6198.01,6198.01,4271.41046903359,False
2019-02-21,2793.313995923534,4314.222070376277,6198.01,6198.01,4270.995219482297,False
2019-02-22,2793.818526346825,4314.222070376277,6198.01,6198.01,4271.1970316516135,False
2019-02-25,2790.686259890132,4314.222070376277,6198.01,6198.01,4269.944125068936,False
2019-02-26,2791.1790524506428,4314.221819773912,6198.01,6198.01,4270.141166912431,False
2019-02-27,2791.3804535604113,4314.222070376277,6198.01,6198.01,4270.221802537048,False
2019-02-28,2789.280876508032,4314.222070376277,6198.01,6198.01,4269.381971716096,False
2019-03-01,2788.794915490766,4314.221819773912,6198.01,6198.01,4269.18751212848,False
2019-03-04,2783.2607155279848,4314.222070376277,6198.01,6198.01,4266.973907324077,False
2019-03-05,2783.173820574125,4314.221819773912,6198.01,6198.01,4266.939074161824,False
2019-03-06,2782.9254502871827,4314.221819773912,6198.01,6198.01,4266.8397260470465,False
2019-03-07,2780.52102887936,4314.222070376277,6198.01,6198.01,4265.878032664627,False
2019-03-08,2779.8701362250545,4314.222070376277,6198.01,6198.01,4265.617675602905,False
2019-03-11,2774.766387179165,4314.222070376277,6198.01,6198.01,4263.576175984549,False
2019-03-12,2775.12630992643,4314.222070376277,6198.01,6198.01,4263.7201450834555,False
2019-03-13,2775.477141875459,4314.221819773912,6198.01,6198.01,4263.860402682358,False
2019-03-14,2773.8242963593966,4314.222070376277,6198.01,6198.01,4263.199339656642,False
2019-03-15,2774.0603277380246,4314.222070376277,6198.01,6198.01,4263.293752208093,False
2019-03-18,2772.362608963622,4314.222070376277,6198.01,6198.01,4262.614664698332,False
2019-03-19,2774.0613120543962,4314.222070376277,6198.01,6198.01,4263.294145934642,False
2019-03-20,2775.83072584818,4314.222070376277,6198.01,6198.01,4264.001911452156,False
2019-03-21,2774.239702275704,4314.221819773912,6198.01,6198.01,4263.365426842455,False
2019-03-22,2774.583295059859,4314.221819773912,6198.01,6198.01,4263.502863956118,False
2019-03-25,2773.3060549725806,4314.221819773912,6198.01,6198.01,4262.991967921206,False
2019-03-26,2775.120982378182,4314.222070376277,6198.01,6198.01,4263.718014064156,False
2019-03-27,2776.9669780944305,4314.222070376277,6198.01,6198.01,4264.456412350655,False
2019-03-28,2776.8159476974233,4314.222070376277,6198.01,6198.01,4264.396000191852,False
2019-03-29,2778.532612729285,4314.222070376277,6198.01,6198.01,4265.082666204597,False
2019-04-01,2780.844405414258,4314.222070376277,6198.01,6198.01,4266.0073832785865,False
2019-04-02,2783.655949937653,4314.222070376277,6198.01,6198.01,4267.132001087944,False
2019-04-03,2786.385953237088,4314.222070376277,6198.01,6198.01,4268.224002407718,False
2019-04-04,2786.9948764092046,4314.221819773912,6198.01,6198.01,4268.467496495856,False
2019-04-05,2789.3588621562944,4314.222070376277,6198.01,6198.01,4269.413165975401,False
